Channel	Intensity
0	17968
1	17733
2	17788
3	18026
4	17808
5	17729
6	17425
7	17501
8	17236
9	17370
10	17355
11	17047
12	17021
13	16932
14	17013
15	17007
16	16897
17	16824
18	16548
19	16684
20	16661
21	16537
22	16527
23	16262
24	16161
25	16060
26	16082
27	15923
28	15972
29	16129
30	15840
31	15742
32	15753
33	15573
34	15456
35	15479
36	15313
37	15447
38	15465
39	14927
40	15185
41	15256
42	15162
43	15045
44	14730
45	14836
46	14570
47	14632
48	14736
49	14875
50	14668
51	14504
52	14448
53	14264
54	14448
55	14146
56	14214
57	14185
58	14081
59	13999
60	13732
61	13876
62	13796
63	13731
64	13548
65	13700
66	13536
67	13759
68	13576
69	13441
70	13385
71	13247
72	13383
73	13161
74	13330
75	13092
76	12918
77	13155
78	12998
79	13009
80	12599
81	12696
82	12657
83	12729
84	12379
85	12589
86	12602
87	12584
88	12857
89	13116
90	13541
91	14308
92	15111
93	16477
94	18044
95	19925
96	21854
97	24055
98	25636
99	26502
100	26941
101	26344
102	25234
103	23418
104	21647
105	19638
106	17611
107	15858
108	14580
109	13473
110	12586
111	12027
112	11706
113	11220
114	11352
115	11360
116	11061
117	10917
118	10888
119	10901
120	10939
121	10900
122	10911
123	10712
124	10635
125	10730
126	10589
127	10701
128	10438
129	10418
130	10463
131	10345
132	10343
133	10208
134	10307
135	10173
136	10257
137	9958
138	10061
139	10023
140	10024
141	9915
142	9856
143	9862
144	9777
145	9760
146	9823
147	9512
148	9752
149	9609
150	9464
151	9559
152	9673
153	9595
154	9417
155	9365
156	9398
157	9306
158	9366
159	9382
160	9360
161	9285
162	9202
163	9041
164	9244
165	9292
166	8871
167	8982
168	8975
169	8929
170	8981
171	8598
172	8847
173	8838
174	8713
175	8641
176	8705
177	8565
178	8470
179	8605
180	8655
181	8335
182	8471
183	8647
184	8392
185	8318
186	8299
187	8393
188	8495
189	8306
190	8326
191	8226
192	8127
193	8159
194	8048
195	8038
196	7929
197	7971
198	7998
199	8005
200	7927
201	7847
202	8092
203	7976
204	7656
205	7591
206	7591
207	7847
208	7682
209	7847
210	7691
211	7641
212	7626
213	7575
214	7488
215	7458
216	7260
217	7477
218	7358
219	7309
220	7156
221	7425
222	7299
223	7284
224	7193
225	7206
226	7084
227	6960
228	7082
229	7128
230	7083
231	6988
232	7073
233	6920
234	7025
235	6974
236	6902
237	6907
238	6793
239	6810
240	6681
241	6622
242	6503
243	6663
244	6608
245	6682
246	6645
247	6583
248	6502
