Channel	Intensity
0	18201
1	17939
2	17808
3	17747
4	17748
5	17845
6	17602
7	17705
8	17646
9	17260
10	17653
11	17442
12	17569
13	17485
14	17330
15	17349
16	17504
17	17175
18	17302
19	17163
20	17388
21	17060
22	17078
23	17006
24	17104
25	16991
26	16750
27	16777
28	16828
29	16511
30	16957
31	16881
32	16583
33	16651
34	16775
35	16291
36	16460
37	16378
38	16479
39	16380
40	16280
41	16187
42	16380
43	16145
44	16163
45	16247
46	16082
47	16013
48	16083
49	16150
50	15968
51	15842
52	16025
53	15821
54	16054
55	15681
56	15589
57	15494
58	15462
59	15503
60	15661
61	15689
62	15655
63	15189
64	15509
65	15240
66	15338
67	15285
68	15136
69	15263
70	15260
71	15215
72	14979
73	15266
74	15065
75	15011
76	15086
77	15035
78	14967
79	14865
80	14872
81	14839
82	14777
83	14699
84	14837
85	14638
86	14623
87	14524
88	14566
89	14411
90	14525
91	14327
92	14330
93	14362
94	14329
95	14603
96	14120
97	14114
98	14352
99	14027
100	14119
101	14165
102	13923
103	14012
104	13891
105	14101
106	13919
107	13756
108	13824
109	13585
110	13831
111	13456
112	13749
113	13579
114	13549
115	13694
116	13431
117	13333
118	13361
119	13278
120	13528
121	13517
122	13233
123	13322
124	13271
125	13266
126	13139
127	13059
128	13062
129	13202
130	12994
131	13081
132	13047
133	12980
134	12736
135	12872
136	13026
137	12636
138	12730
139	12822
140	12766
141	12624
142	12775
143	12542
144	12448
145	12642
146	12390
147	12313
148	12053
149	12397
150	12314
151	12174
152	12303
153	12498
154	12218
155	12028
156	12216
157	12152
158	12046
159	12007
160	12096
161	11897
162	11936
163	11703
164	11827
165	11835
166	11889
167	11539
168	11633
169	11692
170	11790
171	11713
172	11547
173	11248
174	11540
175	11403
176	11509
177	11448
178	11237
179	11303
180	11090
181	11286
182	11280
183	11044
184	11215
185	10912
186	11305
187	10985
188	11038
189	10936
190	10971
191	11062
192	10826
193	10849
194	10763
195	10803
196	10668
197	10677
198	10740
199	10747
200	10594
201	10737
202	10775
203	10464
204	10435
205	10562
206	10553
207	10514
208	10497
209	10338
210	10519
211	10349
212	10416
213	10672
214	10289
215	10507
216	10593
217	10652
218	10656
219	10656
220	10916
221	11223
222	11342
223	11802
224	12152
225	12485
226	12964
227	13692
228	14186
229	15247
230	16056
231	16790
232	18179
233	19182
234	20464
235	21909
236	23393
237	24634
238	26703
239	28308
240	29366
241	31361
242	32605
243	33651
244	35339
245	36505
246	37085
247	37983
248	39109
249	39235
250	39197
251	38956
252	38964
253	38407
254	37365
255	36780
256	35385
257	34296
258	33268
259	31740
260	30643
261	29500
262	27791
263	27128
264	25914
265	25105
266	24536
267	23853
268	23695
269	23584
270	23654
271	23941
272	24517
273	24919
274	25945
275	26984
276	28121
277	29298
278	30641
279	32012
280	32952
281	34225
282	35378
283	36088
284	36970
285	37610
286	38034
287	37855
288	37999
289	37715
290	36921
291	36663
292	35642
293	34806
294	33462
295	31547
296	30306
297	28642
298	27058
299	25473
300	23759
301	22327
302	20459
303	19249
304	17653
305	16444
306	15191
307	14236
308	13254
309	12322
310	11307
311	10635
312	9972
313	9530
314	9121
315	8727
316	8351
317	8102
318	7612
319	7657
320	7454
321	7405
322	7477
323	7400
324	7121
325	6991
326	6889
327	7054
328	6943
329	6826
330	6787
331	6707
332	6838
333	6601
334	6909
335	6744
336	6702
337	6681
338	6517
339	6509
340	6541
341	6586
342	6405
343	6348
344	6491
345	6296
346	6270
347	6341
348	6469
349	6216
350	6380
351	6204
352	6239
353	6241
354	6107
355	6198
356	6063
357	5932
358	5971
359	5882
360	6026
361	5973
362	5876
363	5961
364	5853
365	5928
366	5789
367	5821
368	5829
369	5544
370	5779
371	5635
372	5678
373	5681
374	5553
375	5470
376	5501
377	5431
378	5407
379	5499
380	5565
381	5430
382	5464
383	5446
384	5445
385	5282
386	5412
387	5295
388	5215
389	5090
390	5302
391	5277
392	5148
393	4914
394	4998
395	5052
396	5121
397	5056
398	4883
399	4868
400	4930
401	4899
402	4927
403	4879
404	4815
405	4618
406	4706
407	4842
408	4765
409	4797
410	4888
411	4664
412	4678
413	4626
414	4650
415	4533
416	4569
417	4520
418	4473
419	4432
420	4399
421	4409
422	4462
423	4386
424	4333
425	4185
426	4325
427	4308
428	4312
429	4191
430	4168
431	4182
432	4149
433	4107
434	4212
435	4058
436	4051
437	4121
438	4042
439	4042
440	3889
441	3859
442	3838
443	3972
444	3765
445	3774
446	3771
447	3683
448	3724
449	3751
450	3715
451	3561
452	3637
453	3663
454	3511
455	3668
456	3495
457	3544
458	3579
459	3457
460	3442
461	3479
462	3393
463	3393
464	3334
465	3463
466	3368
467	3412
468	3234
469	3224
470	3276
471	3230
472	3092
473	3054
474	3211
475	3197
476	3140
477	3197
478	3121
479	3076
480	2945
481	2952
482	3002
483	2883
484	2885
485	2844
486	2840
487	2857
488	2842
489	2772
490	2735
491	2746
492	2668
493	2723
494	2613
495	2711
496	2601
497	2597
498	2576
499	2645
500	2468
501	2434
502	2426
503	2447
504	2451
505	2380
506	2406
507	2452
508	2432
509	2400
510	2267
511	2280
512	2222
513	2285
514	2232
515	2085
516	2133
517	2105
518	2105
519	2148
520	2077
521	2049
522	2085
523	1988
524	1943
525	1918
526	1910
527	1823
528	1916
529	1919
530	1760
531	1861
532	1803
533	1801
534	1748
535	1748
536	1625
537	1650
538	1639
539	1659
540	1616
541	1580
542	1522
543	1537
544	1478
545	1492
546	1500
547	1476
548	1460
549	1416
550	1403
551	1402
552	1340
553	1250
554	1319
555	1257
556	1179
557	1156
558	1224
559	1173
560	1189
561	1154
562	1167
563	1127
564	1059
565	1082
566	1075
567	1038
568	973
569	972
570	945
571	966
572	889
573	880
574	822
575	862
576	803
577	841
578	791
579	723
580	713
581	722
582	703
583	653
584	671
585	634
586	611
587	604
588	538
589	564
590	537
591	481
592	474
593	465
594	466
595	443
596	407
597	409
598	357
599	325
600	303
601	321
602	323
603	267
604	267
605	233
606	215
607	173
608	137
609	135
610	130
611	102
612	74
613	45
614	21
615	3
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
