Channel	Intensity
0	1962
1	1942
2	1853
3	1824
4	1738
5	1830
6	1686
7	1733
8	1643
9	1602
10	1574
11	1567
12	1557
13	1507
14	1433
15	1485
16	1443
17	1432
18	1451
19	1364
20	1239
21	1323
22	1297
23	1321
24	1300
25	1247
26	1237
27	1206
28	1216
29	1154
30	1189
31	1209
32	1156
33	1206
34	1142
35	1115
36	1131
37	1099
38	1142
39	1121
40	1086
41	1090
42	1093
43	1090
44	1060
45	971
46	1012
47	1039
48	1016
49	955
50	981
51	971
52	1025
53	1022
54	1015
55	995
56	973
57	971
58	1009
59	1009
60	957
61	954
62	973
63	934
64	941
65	1059
66	982
67	937
68	979
69	950
70	986
71	922
72	955
73	917
74	941
75	896
76	926
77	906
78	945
79	898
80	876
81	915
82	908
83	964
84	957
85	960
86	945
87	881
88	924
89	912
90	902
91	885
92	806
93	912
94	906
95	917
96	841
97	877
98	860
99	887
100	853
101	904
102	940
103	885
104	966
105	804
106	861
107	862
108	846
109	843
110	886
111	847
112	853
113	868
114	854
115	797
116	862
117	808
118	889
119	863
120	953
121	884
122	869
123	884
124	829
125	837
126	878
127	815
128	823
129	848
130	849
131	837
132	806
133	809
134	826
135	808
136	806
137	744
138	900
139	867
140	863
141	815
142	859
143	802
144	872
145	795
146	835
147	775
148	858
149	799
150	787
151	755
152	833
153	786
154	856
155	768
156	808
157	782
158	786
159	774
160	833
161	803
162	789
163	770
164	781
165	811
166	805
167	742
168	791
169	805
170	807
171	773
172	803
173	806
174	759
175	788
176	818
177	769
178	727
179	773
180	755
181	755
182	768
183	749
184	752
185	770
186	789
187	757
188	778
189	758
190	779
191	779
192	802
193	770
194	760
195	698
196	737
197	748
198	773
199	740
200	758
201	748
202	760
203	768
204	732
205	762
206	739
207	770
208	716
209	767
210	781
211	768
212	670
213	722
214	728
215	752
216	746
217	755
218	748
219	718
220	733
221	708
222	751
223	728
224	684
225	717
226	753
227	749
228	693
229	681
230	699
231	714
232	762
233	722
234	723
235	664
236	696
237	718
238	649
239	662
240	696
241	701
242	702
243	702
244	682
245	726
246	644
247	698
248	654
249	671
250	691
251	670
252	722
253	706
254	657
255	690
256	640
257	663
258	704
259	677
260	722
261	671
262	647
263	633
264	694
265	686
266	710
267	635
268	678
269	668
270	695
271	650
272	652
273	671
274	622
275	631
276	654
277	655
278	623
279	659
280	656
281	669
282	656
283	675
284	628
285	675
286	607
287	610
288	653
289	609
290	626
291	656
292	617
293	593
294	620
295	620
296	633
297	629
298	640
299	620
300	680
301	597
302	572
303	646
304	646
305	630
306	680
307	643
308	661
309	617
310	645
311	612
312	619
313	697
314	686
315	726
316	691
317	752
318	805
319	705
320	801
321	873
322	865
323	1007
324	1005
325	1000
326	1154
327	1140
328	1260
329	1333
330	1470
331	1575
332	1640
333	1774
334	1903
335	1969
