Channel	Intensity
0	19880
1	19600
2	18883
3	18840
4	18073
5	17791
6	17603
7	17107
8	16799
9	16495
10	16034
11	15951
12	15746
13	15121
14	15032
15	15040
16	14656
17	14115
18	14110
19	13917
20	13643
21	13619
22	13346
23	13148
24	13122
25	12859
26	12828
27	12527
28	12575
29	12372
30	12290
31	12168
32	11996
33	12107
34	11824
35	11916
36	11869
37	11713
38	11797
39	11521
40	11362
41	11268
42	11517
43	11525
44	11315
45	11188
46	11097
47	11029
48	11052
49	11015
50	10845
51	10704
52	10901
53	10895
54	10653
55	10795
56	10717
57	10527
58	10734
59	10627
60	10691
61	10902
62	10560
63	10695
64	10571
65	10562
66	10388
67	10526
68	10300
69	10527
70	10371
71	10646
72	10328
73	10270
74	10321
75	10401
76	10496
77	10504
78	10569
79	10200
80	10215
81	10289
82	10315
83	10460
84	10336
85	10424
86	10160
87	10370
88	10200
89	10259
90	10271
91	10169
92	10283
93	10253
94	10441
95	10338
96	10286
97	10855
98	11323
99	12203
100	12846
101	12349
102	11374
103	10560
104	10447
105	10421
106	10177
107	10226
108	10184
109	10208
110	10111
111	10249
112	10310
113	10288
114	10089
115	10328
116	10230
117	10336
118	10244
119	10195
120	10204
121	10249
122	10320
123	10256
124	10301
125	10336
126	10512
127	10333
128	10013
129	10251
130	10145
131	10337
132	10349
133	10426
134	10236
135	10113
136	10517
137	10352
138	10190
139	10369
140	10215
141	10317
142	10110
143	10289
144	10206
145	10109
146	10294
147	10433
148	10295
149	10378
150	10240
151	10338
152	10269
153	10403
154	10305
155	10301
156	10290
157	10244
158	10571
159	10352
160	10265
161	10425
162	10333
163	10417
164	10257
165	10345
166	10271
167	10296
168	10311
169	10311
170	10375
171	10505
172	10318
173	10357
174	10386
175	10294
176	10199
177	10353
178	10309
179	10441
180	10099
181	10150
182	10212
183	10339
184	10287
185	10432
186	10357
187	10588
188	10419
189	10261
190	10567
191	10586
192	10471
193	10538
194	10223
195	10432
196	10442
197	10941
198	11546
199	12446
200	12791
201	12430
202	11666
203	10785
204	10639
205	10510
206	10545
207	10412
208	10445
209	10222
210	10399
211	10520
212	10396
213	10385
214	10388
215	10320
216	10505
217	10378
218	10451
219	10523
220	10411
221	10236
222	10339
223	10431
224	10362
225	10572
226	10574
227	10306
228	10303
229	10510
230	10642
231	10441
232	10530
233	10632
234	10581
235	10428
236	10520
237	10559
238	10377
239	10573
240	10579
241	10529
242	10603
243	10547
244	10512
245	10530
246	10550
247	10472
248	10495
249	10435
250	10543
251	10517
252	10609
253	10393
254	10435
255	10614
256	10663
257	10420
258	10613
259	10483
260	10510
261	10531
262	10541
263	10635
264	10452
265	10534
266	10543
267	10546
268	10563
269	10641
270	10622
271	10543
272	10422
273	10520
274	10513
275	10653
276	10576
277	10561
278	10490
279	10607
280	10570
281	10506
282	10548
283	10661
284	10555
285	10551
286	10614
287	10595
288	10529
289	10484
290	10573
291	10562
292	10823
293	10968
294	11451
295	11713
296	12251
297	12852
298	13688
299	13890
