Channel	Intensity
0	1952
1	2007
2	2049
3	2020
4	1927
5	1898
6	1952
7	1881
8	2000
9	2047
10	1976
11	2019
12	2054
13	1978
14	1937
15	1995
16	1975
17	2027
18	1947
19	1866
20	1933
21	1858
22	1950
23	1941
24	1952
25	1892
26	1930
27	1906
28	1970
29	1933
30	1901
31	1885
32	1993
33	1913
34	1889
35	1887
36	1936
37	1969
38	1934
39	1841
40	1909
41	1960
42	1906
43	1854
44	1933
45	1952
46	1898
47	1893
48	1909
49	1879
50	1953
51	1893
52	1903
53	1893
54	1830
55	1929
56	1884
57	1950
58	1869
59	1879
60	1767
61	1831
62	1909
63	1878
64	1888
65	1881
66	1906
67	1857
68	1878
69	1839
70	1769
71	1962
72	1816
73	1859
74	1845
75	1887
76	1818
77	1788
78	1817
79	1884
80	1848
81	1913
82	1911
83	1858
84	1830
85	1850
86	1927
87	1822
88	1791
89	1838
90	1900
91	1773
92	1811
93	1816
94	1822
95	1820
96	1994
97	2278
98	2979
99	3864
100	4188
101	3701
102	2914
103	2311
104	2045
105	1771
106	1895
107	1851
108	1851
109	1799
110	1852
111	1793
112	1827
113	1810
114	1834
115	1851
116	1818
117	1738
118	1832
119	1760
120	1844
121	1752
122	1836
123	1827
124	1758
125	1785
126	1821
127	1880
128	1769
129	1802
130	1798
131	1837
132	1749
133	1686
134	1844
135	1783
136	1729
137	1708
138	1809
139	1788
140	1789
141	1816
142	1803
143	1791
144	1804
145	1765
146	1804
147	1742
148	1722
149	1743
150	1786
151	1697
152	1703
153	1823
154	1709
155	1784
156	1764
157	1820
158	1761
159	1725
160	1791
161	1739
162	1735
163	1731
164	1717
165	1730
166	1717
167	1816
168	1722
169	1794
170	1709
171	1778
172	1764
173	1782
174	1660
175	1687
176	1755
177	1722
178	1680
179	1772
180	1669
181	1655
182	1668
183	1747
184	1734
185	1695
186	1795
187	1736
188	1816
189	1629
190	1736
191	1716
192	1720
193	1708
194	1636
195	1694
196	1709
197	1761
198	1707
199	1749
200	1774
201	1660
202	1753
203	1659
204	1755
205	1654
206	1707
207	1709
208	1707
209	1780
210	1664
211	1737
212	1667
213	1651
214	1613
215	1706
216	1804
217	1736
218	1670
219	1680
220	1700
221	1644
222	1640
223	1712
224	1706
225	1686
226	1762
227	1680
228	1696
229	1662
230	1732
231	1617
232	1712
233	1663
234	1611
235	1644
236	1738
237	1674
238	1720
239	1609
240	1660
241	1699
242	1610
243	1691
244	1753
245	1672
246	1671
247	1704
248	1578
249	1746
250	1666
251	1711
252	1549
253	1688
254	1723
255	1655
256	1675
257	1725
258	1693
259	1724
260	1658
261	1687
262	1672
263	1667
264	1642
265	1629
266	1683
267	1693
268	1633
269	1681
270	1662
271	1607
272	1664
273	1642
274	1657
275	1682
276	1649
277	1689
278	1692
279	1679
280	1681
281	1677
282	1662
283	1641
284	1664
285	1615
286	1634
287	1717
288	1658
289	1660
290	1682
291	1598
292	1742
293	1712
294	1837
295	2030
296	2288
297	2861
298	3357
299	3798
300	3972
301	3706
302	3480
303	2931
304	2588
305	2705
306	2896
307	3186
308	3726
309	4120
310	4235
311	4108
312	3709
313	3183
314	2676
315	2222
316	2061
317	1784
318	1767
319	1605
320	1653
321	1622
322	1630
323	1636
324	1567
325	1626
326	1606
327	1616
328	1634
329	1731
330	1593
331	1645
332	1627
333	1607
334	1689
335	1654
336	1641
337	1689
338	1634
339	1651
340	1604
341	1705
342	1606
343	1633
344	1643
345	1628
346	1701
347	2132
348	4241
349	7840
350	10015
351	7803
352	4072
353	2205
354	1677
355	1639
356	1630
357	1658
358	1622
359	1598
360	1616
361	1597
362	1577
363	1614
364	1629
365	1669
366	1610
367	1553
368	1575
369	1560
370	1604
371	1624
372	1607
373	1634
374	1677
375	1615
376	1581
377	1575
378	1602
379	1658
380	1659
381	1689
382	1644
383	1602
384	1625
385	1629
386	1639
387	1594
388	1599
389	1630
390	1660
391	1567
392	1619
393	1625
394	1589
395	1609
396	1643
397	1591
398	1597
399	1602
400	1632
401	1576
402	1602
403	1599
404	1749
405	1590
406	1630
407	1614
408	1641
409	1687
410	1610
411	1613
412	1628
413	1724
414	1616
415	1581
416	1608
417	1620
418	1615
419	1589
420	1632
421	1649
422	1602
423	1622
424	1625
425	1596
426	1593
427	1563
428	1605
429	1611
430	1621
431	1652
432	1633
433	1582
434	1592
435	1629
436	1648
437	1566
438	1607
439	1631
440	1668
441	1644
442	1629
443	1632
444	1615
445	1667
446	1586
447	1568
448	1603
449	1699
450	1641
451	1608
452	1648
453	1630
454	1644
455	1622
456	1592
457	1620
458	1674
459	1701
460	1670
461	1623
462	1665
463	1594
464	1707
465	1630
466	1651
467	1586
468	1627
469	1616
470	1579
471	1624
472	1680
473	1626
474	1663
475	1576
476	1689
477	1628
478	1645
479	1596
480	1699
481	1660
482	1642
483	1651
484	1641
485	1620
486	1663
487	1524
488	1662
489	1587
490	1641
491	1595
492	1589
493	1637
494	1602
495	1567
496	1649
497	1625
498	1657
499	1596
500	1596
501	1622
502	1652
503	1662
504	1605
505	1590
506	1578
507	1610
508	1618
509	1616
510	1642
511	1581
512	1634
513	1633
514	1593
515	1573
516	1629
517	1669
518	1602
519	1632
520	1598
521	1622
522	1598
523	1603
524	1636
525	1666
526	1581
527	1675
528	1669
529	1573
530	1609
531	1645
532	1645
533	1644
534	1616
535	1698
536	1641
537	1661
538	1631
539	1654
540	1558
541	1645
542	1668
543	1641
544	1508
545	1656
546	1655
547	1606
548	1680
549	1708
550	1653
551	1625
552	1625
553	1683
554	1656
555	1620
556	1617
557	1680
558	1565
559	1715
560	1728
561	1615
562	1660
