Channel	Intensity
0	19900
1	20102
2	19890
3	19850
4	19681
5	19846
6	19860
7	19863
8	20003
9	20116
10	19911
11	19451
12	19721
13	19903
14	20097
15	19638
16	19724
17	19711
18	19574
19	19457
20	19448
21	19627
22	19483
23	19691
24	19669
25	19347
26	19412
27	19178
28	19449
29	19521
30	19142
31	19187
32	19502
33	19333
34	19259
35	19408
36	19423
37	19497
38	18955
39	19288
40	19280
41	19321
42	18959
43	18994
44	19370
45	19107
46	18963
47	18940
48	19065
49	19051
50	19059
51	18957
52	18940
53	18829
54	18994
55	18944
56	18623
57	18772
58	18605
59	18716
60	18859
61	18975
62	18745
63	18811
64	18605
65	18658
66	18701
67	18629
68	18813
69	18474
70	18698
71	18589
72	18455
73	18754
74	18556
75	18638
76	18451
77	18372
78	18528
79	18576
80	18563
81	18740
82	18615
83	18527
84	18500
85	18567
86	18396
87	18236
88	18519
89	18685
90	18322
91	18466
92	18072
93	18436
94	18240
95	18723
96	19634
97	23319
98	29956
99	37547
100	41791
101	37841
102	29773
103	22776
104	19976
105	18496
106	18146
107	18215
108	18093
109	18061
110	18095
111	18091
112	18078
113	18001
114	18174
115	17988
116	17858
117	17944
118	17878
119	18032
120	17989
121	17996
122	17828
123	17969
124	17843
125	18179
126	17948
127	17773
128	17917
129	17734
130	17615
131	17819
132	17636
133	17610
134	17976
135	17648
136	17735
137	17671
138	17876
139	17756
140	17742
141	17563
142	17605
143	17853
144	17553
145	17559
146	17478
147	17633
148	17582
149	17664
150	17589
151	17678
152	17459
153	17592
154	17582
155	17580
156	17579
157	17350
158	17408
159	17402
160	17550
161	17458
162	17371
163	17587
164	17435
165	17725
166	17438
167	17432
168	17462
169	17174
170	17378
171	17253
172	17300
173	17168
174	17372
175	17362
176	17231
177	17364
178	17181
179	17408
180	16958
181	17268
182	17182
183	17239
184	17235
185	17474
186	17282
187	17203
188	17271
189	17097
190	17399
191	17275
192	17545
193	17837
194	18833
195	20521
196	24159
197	28874
198	34421
199	38777
200	40941
201	38879
202	34229
203	28979
204	24407
205	22543
206	23891
207	29402
208	37581
209	45618
210	49029
211	45727
212	37687
213	28709
214	22398
215	19036
216	17425
217	17092
218	16989
219	16754
220	16933
221	17001
222	16893
223	17054
224	17123
225	16824
226	16840
227	17128
228	17032
229	16778
230	16804
231	16943
232	16658
233	17319
234	17009
235	16666
236	16719
237	16694
238	16943
239	17033
240	16840
241	17002
242	17148
243	16715
244	16707
245	16649
246	16949
247	16720
248	16631
249	16477
250	16507
251	16723
252	16423
253	16724
254	16792
255	16616
256	16593
257	16513
258	16848
259	16655
260	16788
261	16586
262	16833
263	16559
264	16872
265	16359
266	16509
267	16671
268	16534
269	16534
270	16531
271	16420
272	16705
273	16507
274	16654
275	16418
276	16590
277	16636
278	16297
279	16473
280	16657
281	16525
282	16456
283	16671
284	16557
285	16681
286	16645
287	16399
288	16229
289	16419
290	16457
291	16400
292	16582
293	16327
294	16463
295	16584
296	16984
297	20313
298	34776
299	62417
300	78925
301	63121
302	34770
303	20366
304	16903
305	16403
306	16361
307	16421
308	16176
309	16362
310	16490
311	16421
312	16536
313	16524
314	16346
315	16376
316	16247
317	16453
318	16247
319	16182
320	16470
321	16340
322	16286
323	16335
324	16461
325	16324
326	16529
327	16378
328	16135
329	16629
330	16475
331	16368
332	16212
333	16284
334	16203
335	16313
336	16242
337	16243
338	16311
339	16222
340	16327
341	16354
342	16209
343	16459
344	16252
345	16290
346	16237
347	16099
348	16186
349	16234
350	16142
351	16293
352	16240
353	16450
354	16414
355	16216
356	16449
357	16146
358	16346
359	16099
360	16219
361	16337
362	16425
363	16244
364	16346
365	16274
366	16432
367	16134
368	16300
369	16300
370	16297
371	16558
372	16321
373	16288
374	16024
375	16049
376	16227
377	16080
378	16522
379	16082
380	16214
381	16132
382	16079
383	16063
384	16200
385	16363
386	16303
387	16287
388	16263
389	16261
390	16166
391	16114
392	16343
393	16248
394	16027
395	16443
396	16323
397	16274
398	16086
399	16241
400	16295
401	16347
402	16214
403	16288
404	16207
405	16222
406	16065
407	16263
408	15917
409	16114
410	16039
411	16139
412	16284
413	15967
414	16258
415	16162
416	16210
417	16315
418	16178
419	16132
420	16386
421	16255
422	16204
423	16158
424	16308
425	16220
426	16099
427	16067
428	16286
429	16402
430	16232
431	16375
432	16101
433	16060
434	15926
435	16261
436	15981
437	16006
438	16051
439	16119
440	16055
441	16119
442	16085
443	16395
444	16290
445	16183
446	16323
447	16186
448	16351
449	16190
450	16328
451	16163
452	16374
453	16147
454	16323
455	16277
456	16016
457	16261
458	16059
459	16218
460	16480
461	16338
462	16279
463	16310
464	16144
465	16158
466	16300
467	16175
468	16336
469	16087
470	16107
471	16279
472	16256
473	16150
474	16377
475	16287
476	16245
477	16212
478	16175
479	16286
480	15993
481	16173
482	16289
483	16251
484	16463
485	16163
