Channel	Intensity
0	1921
1	1929
2	1932
3	1807
4	1802
5	1788
6	1674
7	1813
8	1609
9	1570
10	1631
11	1594
12	1544
13	1508
14	1495
15	1420
16	1414
17	1367
18	1339
19	1385
20	1363
21	1313
22	1247
23	1223
24	1274
25	1236
26	1244
27	1206
28	1236
29	1269
30	1203
31	1174
32	1106
33	1146
34	1115
35	1117
36	1100
37	1093
38	1140
39	1043
40	1077
41	1060
42	1083
43	1047
44	1005
45	1056
46	1036
47	994
48	1077
49	1013
50	1025
51	1027
52	1005
53	1059
54	1006
55	982
56	1004
57	966
58	945
59	925
60	914
61	945
62	934
63	982
64	1006
65	972
66	946
67	940
68	964
69	930
70	948
71	975
72	891
73	919
74	920
75	945
76	957
77	919
78	918
79	927
80	918
81	958
82	867
83	898
84	902
85	896
86	942
87	953
88	889
89	889
90	899
91	950
92	906
93	917
94	916
95	963
96	876
97	853
98	867
99	973
100	894
101	841
102	870
103	862
104	889
105	880
106	908
107	815
108	874
109	872
110	846
111	873
112	859
113	901
114	911
115	895
116	842
117	903
118	866
119	879
120	835
121	816
122	864
123	834
124	802
125	847
126	785
127	878
128	832
129	830
130	860
131	805
132	848
133	872
134	788
135	863
136	840
137	791
138	859
139	851
140	908
141	763
142	840
143	804
144	833
145	781
146	857
147	838
148	837
149	841
150	816
151	837
152	843
153	734
154	779
155	820
156	857
157	1047
158	1390
159	1744
160	1755
161	1525
162	1163
163	964
164	899
165	809
166	834
167	780
168	781
169	764
170	756
171	837
172	736
173	719
174	775
175	751
176	751
177	812
178	770
179	789
180	769
181	829
182	758
183	758
184	708
185	753
186	712
187	809
188	792
189	825
190	787
191	729
192	791
193	743
194	755
195	746
196	729
197	775
198	799
199	731
200	737
201	725
202	713
203	757
204	741
205	787
206	724
207	740
208	752
209	709
210	765
211	760
212	713
213	748
214	707
215	767
216	773
217	737
218	746
219	705
220	716
221	707
222	743
223	703
224	722
225	696
226	714
227	759
228	712
229	724
230	700
231	698
232	697
233	754
234	766
235	1029
236	1340
237	1758
238	2217
239	2534
240	2641
241	2430
242	1962
243	1440
244	1105
245	881
246	774
247	681
248	680
249	660
250	687
251	661
252	654
253	704
254	683
255	655
256	742
257	708
258	685
259	686
260	643
261	662
262	674
263	688
264	684
265	658
266	607
267	614
268	662
269	619
270	667
271	666
272	679
273	678
274	691
275	650
276	662
277	635
278	656
279	638
280	649
281	632
282	702
283	641
284	682
285	658
286	623
287	673
288	640
289	663
290	668
291	628
292	631
293	633
294	674
295	675
296	639
297	632
298	635
299	635
300	617
301	577
302	612
303	638
304	590
305	598
306	624
307	630
308	638
309	623
310	592
311	652
312	597
313	637
314	672
315	844
316	1188
317	1900
318	2810
319	3529
320	3597
321	2926
322	2060
323	1380
324	889
325	672
326	612
327	615
328	610
329	628
330	556
331	624
332	583
333	656
334	592
335	562
336	571
337	566
338	574
339	546
340	580
341	577
342	581
343	563
344	595
345	578
346	589
347	574
348	561
349	566
350	617
351	562
352	575
353	589
354	574
355	552
356	565
357	542
358	564
359	578
360	555
361	553
362	569
363	554
364	489
365	503
366	566
367	558
368	553
369	555
370	507
371	577
372	575
373	537
374	538
375	572
376	532
377	496
378	521
379	524
380	501
381	518
382	541
383	518
